seat,year,party,name,votes,votes_pc,winner
Satkhira-3,1991,Bangladesh Muslim League,Ashfaquzzaman,62,0.06,no
Dhaka-2,1996,Independent,Sudhir Kumar Hazra,62,0.06,no
Gazipur-2,1996,Independent,Md. Laiz Uddin Molla,62,0.02,no
Narayanganj-4,1996,JSD (Rab),Mosa Fatema Begum,62,0.03,no
Dhaka-11,2001,Samridhya Bangladesh Andolan,Md. Abu Saleh,62,0.02,no
Comilla-7,2001,Independent,Md. Farhad Hossain,62,0.04,no
Chittagong-1,2001,JP (Manju),Ibrahim Iqbal,62,0.04,no
Madaripur-1,2018,JaPa,Joherul Islam Mintu,62,0.03,
Manikganj-1,1991,Independent,Md. Abul Kasem,63,0.06,no
Narail-1,2008,Independent,Dhirendra Nath Shah,63,0.04,no
Dhaka-7,1991,JSD (Siraj),Md. Gofran Miyan,64,0.05,no
Cox's Bazar-1,1996,Independent,Abul Hossain Monu,64,0.04,no
Jessore-1,2001,Independent,Md. Taherjul Islam,64,0.04,no
Barisal-1,2001,Independent,John Nihar Ranjan Biswas,64,0.04,no
Jamalpur-4,2001,Independent,Md. Shamsul Haq,64,0.04,no
Jhalokati-1,1991,Independent,Golam Kabir Tang.,65,0.09,no
Khulna-1,1996,Independent,Md. Akram Sheikh,65,0.06,no
Pirojpur-2,1996,Jana Dal,Shah Alam,65,0.12,no
Pabna-4,2001,Independent,Abdus Sattar Md. Shariful Islam Raja,65,0.03,no
Dhaka-10,2008,JSD (Rab),Md. Habibur Rahman,65,0.02,no
Dhaka-6,1991,Janata Mukti Party,Golam Moinuddin Gaus,66,0.06,no
Dhaka-11,1996,Bangladesh National Congress,Md. Abu Bakar Siddique,66,0.02,no
Noakhali-3,1996,Zaker Party,Mohammad Ali,66,0.12,no
Tangail-6,2001,Jatiya Janata Party (Nurul Islam),Md. Golam Mostafa,66,0.05,no
Dhaka-10,2001,Independent,Tofazzal Hossain Bhuiya,66,0.04,no
Chittagong-15,2001,Bangladesh Progressive Party,Syed Mujibar Rahman Quayes,66,0.04,no
Rangpur-3,1996,FP,Md. Faizur Rahman Mithu,67,0.04,no
Dhaka-5,1996,Jatiya Janata Party (Nurul Islam),Md. Hannan Hossain Chowdhury,67,0.02,no
Dhaka-12,1996,Jatiya Janata Party (Asad),Gazi Nazrul Islam,67,0.04,no
Noakhali-6,1996,Independent,Md. Zaber,67,0.08,no
Chittagong-9,1996,Independent,Md. Azam Khan,67,0.03,no
Shariatpur-1,2001,Bangladesh Muslim League,Md. Anowar Hossain Aburi,67,0.04,no
Chittagong-9,2001,JP (Manju),Md. Yakub Hossain,67,0.03,no
Chittagong-10,2001,Independent,Syed Shamil Ahmed,67,0.03,no
Pirojpur-3,1991,JSD (Rab),Md. Afzal Hossain,68,0.09,no
Bogra-3,1996,Independent,Md. Zakil Islam Khan,68,0.05,no
Barisal-5,1996,Independent,Md. A. Malek Mridha,68,0.04,no
Manikganj-2,1996,Bangladesh Janata Party,Md. Golam Mostofa Khan Raton,68,0.05,no
Dhaka-5,2008,Gano Forum,Md. Safar Ali,68,0.02,no
Naogaon-2,1996,Independent,Md. Suzauddula,69,0.04,no
Barisal-4,1996,NDP,H. M. Ruhul Amin,69,0.07,no
Barisal-5,1996,Independent,Md. Hannan Sherniabad,69,0.04,no
Cox's Bazar-1,1996,Independent,Momtajul Islam,69,0.04,no
Bagerhat-2,2001,Independent,Arefin Islam,69,0.04,no
Feni-3,2001,JP (Manju),Md. Israfil,69,0.05,no
Comilla-3,2001,Independent,Md. Ali Akbar Rana,69,0.03,no
Chittagong-13,2001,JSD (Rab),Syed Manjur Rahman Jubair,69,0.05,no
Dhaka-8,1991,JSD (Rab),Humayun Kabir Hiru,70,0.07,no
Chittagong-8,1991,FP,Nizamul Amin,70,0.05,no
Dhaka-6,1996,Ganatantrik Sarbahara Party,Sheikh Mohiuddin Ahmed,70,0.03,no
Gopalganj-2,1996,Independent,Md. Moktar Hossain,70,0.05,no
Chittagong-9,1996,Independent,Md. Oli Ahmed,70,0.03,no
Jhalokati-2,2001,JP (Manju),Majibur Rahman,70,0.04,no
Gaibandha-2,1991,JSD (Siraj),Kabil Hossain,71,0.06,no
Pirojpur-2,1996,Independent,Shahadat Hossain,71,0.13,no
Manikganj-2,1996,Jana Dal,Md. Afzal Hossaib Chowdhury,71,0.06,no
Dhaka-9,1996,Pragotishi Jatiatabadi Dal (Nurul A Moula),Md. Mustafizur Rahman Khan Mostafa,71,0.04,no
Dhaka-11,1996,NAP (Muzaffar),Nasima Haque Rubi,71,0.03,no
Gazipur-2,1996,Independent,Nasir Uddin Sarkar,71,0.03,no
Narsingdi-2,1996,Independent,Md. Tara Miah,71,0.07,no
Gopalganj-3,2018,Islami Andolan Bangladesh,Maruf Sheikh,71,0.03,
Dhaka-7,2001,Independent,Md. Salah Uddin Ahmed,72,0.03,no
Noakhali-6,2001,JSD (Rab),Ishrajur Rahman Shamim,72,0.07,no
Pabna-4,1991,NAP (Muzaffar),Abul Kashem Bishwas,73,0.05,no
Jhenaidah-1,1991,Bangladesh Muslim League,Md. Mokbul Hossain Seikh,73,0.06,no
Dhaka-7,1991,Jatiya Janata Party and Gonotantrik Oikkya Jot,Md. Mujibur Rahman Hiru,73,0.05,no
